diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh,nci,article
pedofilia, , ,"Q111746044,hebefilia", , , ,302.2,F65.4,C0030764,D010378,C94355, 
paramnesia reduplicativa, , , , , , , , , , , , 
Transtorno de Identidad Disociativo, , ,"Q2053759,alter ego,doble personalidad,esquizofrenia,labilidad emocional,personalidad asumida ficticia,psicosis,trastorno antisocial de la personalidad,trastorno de personalidad", ,"Q55607365,trauma psíquico","cuestionario,entrevista,observación",300.14,F44.81,C0026773,D009105,C94330, 
esquizofrenia,"disfunción cognitiva,psicosis","Aripiprazol,Bexaroteno,Cariprazina,Clorpromazina,Clozapina,Olanzapina,Q144085,Q1452256,Q226905,Q2608288,Q27164953,Q27278051,Q2924764,Q4199443,Q423520,Q423809,Q4673284,Q5045786,Q50824517,Q567927,Q6821618,Reserpina,Thioridazine,Ziprasidona,amisulprida,armodafinilo,carbamazepina,clonazepam,flufenazina,haloperidol,loxapina,molindone,palmitato de Paliperidona,risperidona,trifluoperazina","Transtorno de Identidad Disociativo,trastorno esquizoide de la personalidad", , , ,"295,295.9,295.90","F20,F20.9",C0036341,D012559,C3362, 
licantropía clínica, , , , , , , , , , , , 
Q127770, , , , , , , , , , , , 
melancolía, , ,"Q30038761,Q80149,depresión melancólica", , , ,296.90, , , , , 
trastorno por estrés postraumático complejo,"ansiedad,desregulación emocional,flashback,pesadilla,reacción de lucha o huida,soledad,somatización", ,"autismo,trastorno límite de la personalidad- transtorno de la personalidad emocionalmente inestable", ,"maltrato infantil,negligencia,trata de personas,violencia doméstica", , , ,C2733207, , , 
monomanía, , ,Q67135649, , , , , ,C0233696, , , 
sociopatía, , , , , , , , , , , , 
Q955922, , , , , , , , , , , , 
megalomanía, , ,Q4280499, , , , , , , , , 
Trastorno perceptivo persistente por alucinógenos, , , , ,"alucinógeno,droga psicodélica", , , , , , , 
Síndrome de Jerusalén, , , , , , , , , , , , 
delirio de parasitosis,"abrasión,delirio,hipócondria,picor", , , ,entidad desconocida, , , , ,D063726, , 
egomanía, , ,Q11856926, , , , , ,C0233695, , , 
Q1299035, , , , , , , , , , , , 
trastorno facticio impuesto a otro, , ,síndrome de Münchhausen, , , , , ,C0085277,D016735, , 
oneirofrenia, , , , , , ,295.4, ,C0553814, , , 
esquizofrenia catatónica,"catalepsia,excitatión catatónica,flexibilidad cérea,mudez,negativismo,síntoma de Dupré,síntoma de Pavlov", , , , , , , , ,D012560,C35003, 
trastorno psicótico compartido, , , , , , , , ,C0036939,D012753, , 
síndrome de París,depresión, , , ,trastorno de adaptación,http://www.wikidata.org/.well-known/genid/fc6afba4d82d356ed4d3b89d5d05f6a4, , , , , , 
Q1472585, , , , , , , , , , , , 
Q1973636, , , , , , , , , , , , 
Q2053759, , , , , , , , , , , , 
