Name,Wikipedia link (en)
Fabry's disease,https://en.wikipedia.org/wiki/Fabry%27s_disease
Faces syndrome,https://en.wikipedia.org/wiki/Faces_syndrome
Facial asymmetry temporal seizures,https://en.wikipedia.org/w/index.php?title=Facial_asymmetry_temporal_seizures&action=edit&redlink=1
Facial clefting corpus callosum agenesis,https://en.wikipedia.org/w/index.php?title=Facial_clefting_corpus_callosum_agenesis&action=edit&redlink=1
Facial cleft,https://en.wikipedia.org/wiki/Facial_cleft
Facial dysmorphism macrocephaly myopia Dandy–Walker type,https://en.wikipedia.org/w/index.php?title=Facial_dysmorphism_macrocephaly_myopia_Dandy%E2%80%93Walker_type&action=edit&redlink=1
Facial dysmorphism shawl scrotum joint laxity syndrome,https://en.wikipedia.org/wiki/Facial_dysmorphism_shawl_scrotum_joint_laxity_syndrome
Facial femoral syndrome,https://en.wikipedia.org/wiki/Facial_femoral_syndrome
Facial paralysis,https://en.wikipedia.org/wiki/Facial_paralysis
Facies unusual arthrogryposis advanced skeletal malformations,https://en.wikipedia.org/w/index.php?title=Facies_unusual_arthrogryposis_advanced_skeletal_malformations&action=edit&redlink=1
Facio digito genital syndrome recessive form,https://en.wikipedia.org/w/index.php?title=Facio_digito_genital_syndrome_recessive_form&action=edit&redlink=1
Facio skeletal genital syndrome Rippberger type,https://en.wikipedia.org/w/index.php?title=Facio_skeletal_genital_syndrome_Rippberger_type&action=edit&redlink=1
Facio thoraco genital syndrome,https://en.wikipedia.org/w/index.php?title=Facio_thoraco_genital_syndrome&action=edit&redlink=1
Faciocardiomelic dysplasia lethal,https://en.wikipedia.org/w/index.php?title=Faciocardiomelic_dysplasia_lethal&action=edit&redlink=1
Faciocardiorenal syndrome,https://en.wikipedia.org/w/index.php?title=Faciocardiorenal_syndrome&action=edit&redlink=1
Faciooculoacousticorenal syndrome,https://en.wikipedia.org/w/index.php?title=Faciooculoacousticorenal_syndrome&action=edit&redlink=1
Facioscapulohumeral muscular dystrophy,https://en.wikipedia.org/wiki/Facioscapulohumeral_muscular_dystrophy
Factor II deficiency,https://en.wikipedia.org/wiki/Factor_II_deficiency
Factor V deficiency,https://en.wikipedia.org/wiki/Factor_V_deficiency
Factor V Leiden mutation,https://en.wikipedia.org/wiki/Factor_V_Leiden_mutation
Factor VII deficiency,https://en.wikipedia.org/wiki/Factor_VII_deficiency
Factor VIII deficiency,https://en.wikipedia.org/wiki/Factor_VIII_deficiency
"Factor X deficiency, congenital","https://en.wikipedia.org/wiki/Factor_X_deficiency,_congenital"
Factor X deficiency,https://en.wikipedia.org/wiki/Factor_X_deficiency
"Factor XI deficiency, congenital","https://en.wikipedia.org/wiki/Factor_XI_deficiency,_congenital"
"Factor XIII deficiency, congenital","https://en.wikipedia.org/wiki/Factor_XIII_deficiency,_congenital"
Factor XIII deficiency,https://en.wikipedia.org/wiki/Factor_XIII_deficiency
Fahr's disease,https://en.wikipedia.org/wiki/Fahr%27s_disease
