Name,Wikipedia link (en)
Hageman factor deficiency,https://en.wikipedia.org/wiki/Hageman_factor_deficiency
Hagemoser–Weinstein–Bresnick syndrome,https://en.wikipedia.org/wiki/Hagemoser%E2%80%93Weinstein%E2%80%93Bresnick_syndrome
Hailey–Hailey disease,https://en.wikipedia.org/wiki/Hailey%E2%80%93Hailey_disease
Hair defect with photosensitivity and mental retardation,https://en.wikipedia.org/w/index.php?title=Hair_defect_with_photosensitivity_and_mental_retardation&action=edit&redlink=1
Hairy cell leukemia,https://en.wikipedia.org/wiki/Hairy_cell_leukemia
"Hairy ears, y-linked","https://en.wikipedia.org/w/index.php?title=Hairy_ears,_y-linked&action=edit&redlink=1"
Hairy ears,https://en.wikipedia.org/w/index.php?title=Hairy_ears&action=edit&redlink=1
Hairy nose tip,https://en.wikipedia.org/w/index.php?title=Hairy_nose_tip&action=edit&redlink=1
Hairy palms and soles,https://en.wikipedia.org/wiki/Hairy_palms_and_soles
Hairy tongue,https://en.wikipedia.org/wiki/Black_hairy_tongue
Hajdu–Cheney syndrome,https://en.wikipedia.org/wiki/Hajdu%E2%80%93Cheney_syndrome
Halal–Setton–Wang syndrome,https://en.wikipedia.org/w/index.php?title=Halal%E2%80%93Setton%E2%80%93Wang_syndrome&action=edit&redlink=1
Halal syndrome,https://en.wikipedia.org/wiki/Halal_syndrome
Hall–Riggs mental retardation syndrome,https://en.wikipedia.org/w/index.php?title=Hall%E2%80%93Riggs_mental_retardation_syndrome&action=edit&redlink=1
Hallermann–Streiff syndrome,https://en.wikipedia.org/wiki/Hallermann%E2%80%93Streiff_syndrome
Pantothenate kinase-associated neurodegeneration,https://en.wikipedia.org/wiki/Pantothenate_kinase-associated_neurodegeneration
Hallucinogen persisting perception disorder,https://en.wikipedia.org/wiki/Hallucinogen_persisting_perception_disorder
Hallux valgus,https://en.wikipedia.org/wiki/Hallux_valgus
Hamanishi–Ueba–Tsuji syndrome,https://en.wikipedia.org/w/index.php?title=Hamanishi%E2%80%93Ueba%E2%80%93Tsuji_syndrome&action=edit&redlink=1
Hamano–Tsukamoto syndrome,https://en.wikipedia.org/w/index.php?title=Hamano%E2%80%93Tsukamoto_syndrome&action=edit&redlink=1
Hamartoma sebaceus of Jadassohn,https://en.wikipedia.org/wiki/Hamartoma_sebaceus_of_Jadassohn
Hand and foot deformity flat facies,https://en.wikipedia.org/w/index.php?title=Hand_and_foot_deformity_flat_facies&action=edit&redlink=1
Hand–foot–uterus syndrome,https://en.wikipedia.org/wiki/Hand%E2%80%93foot%E2%80%93uterus_syndrome
Hand wringing Rett syndrome,https://en.wikipedia.org/wiki/Hand_wringing_Rett_syndrome
"Hand, foot and mouth disease","https://en.wikipedia.org/wiki/Hand,_foot_and_mouth_disease"
Hand–Schüller–Christian disease,https://en.wikipedia.org/wiki/Hand%E2%80%93Sch%C3%BCller%E2%80%93Christian_disease
Hanhart syndrome,https://en.wikipedia.org/wiki/Hanhart_syndrome
Harding ataxia,https://en.wikipedia.org/wiki/Harding_ataxia
Harlequin type ichthyosis,https://en.wikipedia.org/wiki/Harlequin_type_ichthyosis
Harpaxophobia,https://en.wikipedia.org/wiki/Harpaxophobia
Harrod–Doman–Keele syndrome,https://en.wikipedia.org/w/index.php?title=Harrod%E2%80%93Doman%E2%80%93Keele_syndrome&action=edit&redlink=1
Hartnup disease,https://en.wikipedia.org/wiki/Hartnup_disease
Hartsfield–Bixler–Demyer syndrome,https://en.wikipedia.org/w/index.php?title=Hartsfield%E2%80%93Bixler%E2%80%93Demyer_syndrome&action=edit&redlink=1
Hashimoto struma,https://en.wikipedia.org/wiki/Hashimoto_struma
Hashimoto–Pritzker syndrome,https://en.wikipedia.org/wiki/Hashimoto%E2%80%93Pritzker_syndrome
Hashimoto's thyroiditis,https://en.wikipedia.org/wiki/Hashimoto%27s_thyroiditis
Haspeslagh–Fryns–Muelenaere syndrome,https://en.wikipedia.org/w/index.php?title=Haspeslagh%E2%80%93Fryns%E2%80%93Muelenaere_syndrome&action=edit&redlink=1
Hay–Wells syndrome recessive type,https://en.wikipedia.org/w/index.php?title=Hay%E2%80%93Wells_syndrome_recessive_type&action=edit&redlink=1
