diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Q4636563,Q4636563, , , , , , , , , , , , ,791.9,E71.1,C0342737,C535312, , , , 
Q24963765,Q24963765, , , , , , , , , , , , , , , , ,C129929, , , 
síndrome XXYY,Q8042649, , , , , , , , , , , , ,758.81,Q98.8,C2936741, ,C89801, , , 
Q5986446,Q5986446, , , , , , , , , , , , , ,L85.0,C0263386,C538175,C112831, , , 
acrocianosi,Q202283, , , , , , , , , , , , , , ,C0221347, , , , , 
acrospiroma,Q1323187, , , , , , , , , , , , , , , ,D018250, , , , 
Q55789795,Q55789795, , , , , , , , , , , , ,993.2, , , , , , , 
Q4677940,Q4677940, , , , , , , , , , , , , ,C92.0,C1879321, ,C3250, , , 
Q4677942,Q4677942, , , , , , , , , , , , , ,C92.0,C0026998, ,C3249, , , 
malaltia infecciosa per Fusobacterium,Q539465, , , , , , , , ,infecció,Q166231, , ,"041.84,101",A69.1,"C0017575,C1527368",D005892,"C34637,C84722", , , 
Q37311576,Q37311576, , , , , , , , , , , , , , , , , , ,article científic, 
Q93630286,Q93630286, , , , , , , , , , , , , , , , , , , , 
Q70720501,Q70720501, , , , , , , , , , , , , , , , , , , , 
Q3505030,Q3505030, , , , , , , , , , , , , , , , , , , , 
envelliment humà,Q332154, , , , ,senescència,Q2070979, , , , , , , , ,C0001811,D000375, ,https://ca.wikipedia.org/wiki/Envelliment_hum%C3%A0,procés biològic, 
Q21071557,Q21071557, , , , , , , , , , , , , , , , , , , , 
agnòsia,Q220322, , , , , , , , , , , , , ,"R48.1,R48.2","C0001816,C0003635",D000377,C84542,https://ca.wikipedia.org/wiki/Agn%C3%B2sia, , 
Q24975595,Q24975595, , , , , , , , ,Q24960226,Q24960226, , , , , , , , , , 
síndrome d'abstinència alcohòlica,Q2914873, , ,baclofèn,Q413717, , , , ,Q4713265,Q4713265, , ,291.81, , , , , , , 
Q4734614,Q4734614, , , , , , , , , , , , ,704.09,L63.0,C0263504, , , , , 
Q59619363,Q59619363, , , , , , , , , , , , , , , , , , , , 
Q4063606,Q4063606, , , , , , , , , , , , , , ,C0278110, , , , , 
malaltia d'Alzheimer d'inici precoç,Q5326566, , ,"Q158348,Q402633,Q421076,donepezil,galantamina,rivastigmina,àcid valproic","Q158348,Q240642,Q402633,Q411887,Q412690,Q415081,Q421076", , , , , , , , , , , , , , , ,malaltia d'Alzheimer de començament precoç
Q35247349,Q35247349, , , , , , , , , , , , , , , , , , ,article científic, 
amaurosi,Q285787,ceguesa,Q10874, , , , , , , , , , , , , , , ,https://ca.wikipedia.org/wiki/Amaurosi, , 
Q461854,Q461854, , , , , , , , , , , , , ,K00.5,C0002452,D000567, , , , 
Q38572562,Q38572562, , , , , , , , , , , , , , , , , , ,article científic, 
Q5308804,Q5308804, , , , , , , , , , , , , , ,CL1380657, , , , , 
Q3614488,Q3614488, , , , , , , , , , , , , , , , , , , , 
anafilaxi,Q168800, , ,adrenalina,Q132621, , ,Q47521917,Q47521917, , , , , , ,C0002792,D000707,C107101,https://ca.wikipedia.org/wiki/Anafilaxi, ,"Anafilàctic,Anafilàxia"
