diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Q4636563,Q4636563, , , , , , , , , , , , ,791.9,E71.1,C0342737,C535312, , , , 
Q24963765,Q24963765, , , , , , , , , , , , , , , , ,C129929, , , 
síndrome XXYY,Q8042649, , , , , , , , , , , , ,758.81,Q98.8,C2936741, ,C89801, , , 
Q5986446,Q5986446, , , , , , , , , , , , , ,L85.0,C0263386,C538175,C112831, , , 
Q202283,Q202283, , , , , , , , , , , , , , ,C0221347, , , , , 
acrospiroma,Q1323187, , , , , , , , , , , , , , , ,D018250, , , , 
Q55789795,Q55789795, , , , , , , , , , , , ,993.2, , , , , , , 
Q4677940,Q4677940, , , , , , , , , , , , , ,C92.0,C1879321, ,C3250, , , 
Q4677942,Q4677942, , , , , , , , , , , , , ,C92.0,C0026998, ,C3249, , , 
Angina de Vincent,Q539465, , , , , , , , ,infección,Q166231, , ,"041.84,101",A69.1,"C0017575,C1527368",D005892,"C34637,C84722",https://es.wikipedia.org/wiki/Angina_de_Vincent,angina vicent,"Angina de vincent,Boca de trinchera,Gingivitis Ulceronecrotizante Aguda,Gingivitis ulcerativa necrotizante,Gingivitis ulcerosa necrotizante"
Q37311576,Q37311576, , , , , , , , , , , , , , , , , , , , 
Q93630286,Q93630286, , , , , , , , , , , , , , , , , , , , 
Q70720501,Q70720501, , , , , , , , , , , , , , , , , , , , 
Q3505030,Q3505030, , , , , , , , , , , , , , , , , , , , 
envejecimiento,Q332154, , , , ,senescencia,Q2070979, , , , , , , , ,C0001811,D000375, ,https://es.wikipedia.org/wiki/Envejecimiento_humano,proceso biológico,senescencia
Q21071557,Q21071557, , , , , , , , , , , , , , , , , , , , 
agnosia,Q220322, , , , , , , , , , , , , ,"R48.1,R48.2","C0001816,C0003635",D000377,C84542,https://es.wikipedia.org/wiki/Agnosia, , 
Q24975595,Q24975595, , , , , , , , ,VIH perinatal,Q24960226, , , , , , , , , , 
síndrome de abstinencia alcohólica,Q2914873, , ,baclofeno,Q413717, , , , ,Q4713265,Q4713265, , ,291.81, , , , ,https://es.wikipedia.org/wiki/S%C3%ADndrome_de_abstinencia_del_alcohol, ,síndrome de abstinencia del alcohol
Q4734614,Q4734614, , , , , , , , , , , , ,704.09,L63.0,C0263504, , , , , 
Q59619363,Q59619363, , , , , , , , , , , , , , , , , , , , 
Q4063606,Q4063606, , , , , , , , , , , , , , ,C0278110, , , , , 
enfermedad de Alzheimer de inicio precoz,Q5326566, , ,"Alfa-Tocoferol,Donepezilo,Galantamina,Rivastigmina,Selegilina,Tacrina,Ácido valproico","Q158348,Q240642,Q402633,Q411887,Q412690,Q415081,Q421076", , , , , , , , , , , , , , , ,enfermedad de Alzheimer de comienzo precoz
Q35247349,Q35247349, , , , , , , , , , , , , , , , , , ,artículo científico publicado en 1992, 
amaurosis,Q285787,ceguera,Q10874, , , , , , , , , , , , , , , ,https://es.wikipedia.org/wiki/Amaurosis,pérdida total o casi completa de visión producida por una causa orgánica sin lesión aparente del ojo, 
