name,link
Acutane embryopathy,https://en.wikipedia.org/wiki/Isotretinoin
Acute non lymphoblastic leukemia (generic term),https://en.wikipedia.org/wiki/Acute_myeloid_leukemia
Adams–Nance syndrome,https://en.wikipedia.org/wiki/Adams%E2%80%93Nance_syndrome
Brown-Séquard syndrome,https://en.wikipedia.org/wiki/Brown-S%C3%A9quard_syndrome
Café au lait spots syndrome,https://en.wikipedia.org/wiki/Caf%C3%A9_au_lait_spot
Chen-Kung Ho–Kaufman–Mcalister syndrome,https://en.wikipedia.org/wiki/Ho%E2%80%93Kaufman%E2%80%93Mcalister_syndrome
Congenital ichtyosiform erythroderma,https://en.wikipedia.org/wiki/Congenital_ichthyosiform_erythroderma
Diethylstilbestrol antenatal infection,https://en.wikipedia.org/wiki/Diethylstilbestrol
"Emery–Dreifuss muscular dystrophy, X-linked",https://en.wikipedia.org/wiki/Emery%E2%80%93Dreifuss_muscular_dystrophy#Classification
Erb–Duchenne palsy,https://en.wikipedia.org/wiki/Erb%27s_palsy
Familial cold autoinflamatory syndrome (FCAS),https://en.wikipedia.org/wiki/Cold_urticaria#Familial_cold_urticaria
Forbes–Albright syndrome,https://en.wikipedia.org/wiki/Hyperprolactinaemia#Historical_names
Gardner–Diamond syndrome,https://en.wikipedia.org/wiki/Painful_bruising_syndrome
Gougerot–Blum syndrome,https://en.wikipedia.org/wiki/Gougerot%E2%80%93Blum_syndrome
Hagemoser–Weinstein–Bresnick syndrome,https://en.wikipedia.org/wiki/Hagemoser%E2%80%93Weinstein%E2%80%93Bresnick_syndrome
Hand–foot–uterus syndrome,https://en.wikipedia.org/wiki/HOXA13
Hepadnovirus D,https://en.wikipedia.org/wiki/Hepadnaviridae
Hereditary fibrinogen Aα-Chain amyloidosis,https://en.wikipedia.org/wiki/Dysfibrinogenemia#Pathophysiology#Hereditary_fibrinogen_Aα-Chain_amyloidosis
Histadelia,https://en.wikipedia.org/wiki/Orthomolecular_psychiatry#Histadelia
Histapenia,https://en.wikipedia.org/wiki/Orthomolecular_psychiatry#Histapenia
Hydantoin antenatal infection,https://en.wikipedia.org/wiki/Phenytoin
Indomethacin antenatal infection,https://en.wikipedia.org/wiki/Indometacin
Iodine antenatal infection,https://en.wikipedia.org/wiki/Iodine
Launois–Bensaude adenolipomatosis,https://en.wikipedia.org/wiki/Raoul_Bensaude
Letterer–Siwe disease,https://en.wikipedia.org/wiki/Letterer%E2%80%93Siwe_disease
Lhermitte–Duclos disease,https://en.wikipedia.org/wiki/Lhermitte%E2%80%93Duclos_disease
Marchiafava–Bignami disease,https://en.wikipedia.org/wiki/Marchiafava%E2%80%93Bignami_disease
Methimazole antenatal infection,https://en.wikipedia.org/wiki/Thiamazole
Methyl mercury antenatal infection,https://en.wikipedia.org/wiki/Methylmercury
Mirhosseini–Holmes–Walton syndrome,https://en.wikipedia.org/wiki/Mirhosseini%E2%80%93Holmes%E2%80%93Walton_syndrome
Mixed Müllerian tumor,https://en.wikipedia.org/wiki/Mixed_M%C3%BCllerian_tumor
Münchausen syndrome,https://en.wikipedia.org/wiki/Factitious_disorder_imposed_on_self
Non-24-hour sleep–wake disorder,https://en.wikipedia.org/wiki/Non-24-hour_sleep%E2%80%93wake_disorder
Parsonage–Turner syndrome,https://en.wikipedia.org/wiki/Parsonage%E2%80%93Turner_syndrome
Romano–Ward syndrome,https://en.wikipedia.org/wiki/Romano%E2%80%93Ward_syndrome
Serious digitalis intoxication,https://en.wikipedia.org/wiki/Digoxin
"Shellfish poisoning, diarrheal",https://en.wikipedia.org/wiki/Diarrhetic_shellfish_poisoning
Trichofolliculloma,https://en.wikipedia.org/wiki/Trichofolliculoma
Urban–Schosser–Spohn syndrome,https://en.wikipedia.org/wiki/Hereditary_mucoepithelial_dysplasia
Vaccinophobia,https://en.wikipedia.org/wiki/Vaccine_hesitancy
Wernicke–Korsakoff syndrome,https://en.wikipedia.org/wiki/Wernicke%E2%80%93Korsakoff_syndrome
