name,link
18p deletion syndrome,https://en.wikipedia.org/wiki/Distal_18q-
2-hydroxyglutaricaciduria,https://en.wikipedia.org/wiki/2-Hydroxyglutaric_aciduria
2-Hydroxyglutaricaciduria,https://en.wikipedia.org/wiki/2-Hydroxyglutaric_aciduria
3 hydroxyisobutyric aciduria,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria
3 hydroxyisobutyric aciduria,https://en.wikipedia.org/wiki/3_hydroxyisobutyric_aciduria
3-hydroxyacyl-coa dehydrogenase deficiency,https://en.wikipedia.org/wiki/3-hydroxyacyl-coenzyme_A_dehydrogenase_deficiency
46 xx gonadal dysgenesis epibulbar dermoid,https://en.wikipedia.org/wiki/XX_gonadal_dysgenesis
"48, XXYY syndrome",https://en.wikipedia.org/wiki/XXYY_syndrome
Acne rosacea,https://en.wikipedia.org/wiki/Rosacea
Acne vulgaris,https://en.wikipedia.org/wiki/Acne
Acoustic neuroma,https://en.wikipedia.org/wiki/Vestibular_schwannoma
Acoustic schwannomas,https://en.wikipedia.org/wiki/Vestibular_schwannoma
Acquired agranulocytosis,https://en.wikipedia.org/wiki/Agranulocytosis
Acquired ichthyosis,https://en.wikipedia.org/wiki/Ichthyosis_acquisita
Acrocyanosis,https://en.wikipedia.org/wiki/Acrocyanosis
Acrodermatitis,https://en.wikipedia.org/wiki/Acrodermatitis
Acrokeratoelastoidosis of Costa,https://en.wikipedia.org/wiki/Acrokeratoelastoidosis_of_Costa
Acrospiroma,https://en.wikipedia.org/wiki/Acrospiroma
Actinic keratosis,https://en.wikipedia.org/wiki/Actinic_keratosis
Acutane embryopathy,https://en.wikipedia.org/wiki/Isotretinoin
Acute articular rheumatism,https://en.wikipedia.org/wiki/Rheumatism
Acute febrile neutrophilic dermatosis,https://en.wikipedia.org/wiki/Febrile_neutrophilic_dermatosis
Acute lymphoblastic leukemia,https://en.wikipedia.org/wiki/Acute_lymphoblastic_leukemia
Acute lymphocytic leukemia,https://en.wikipedia.org/wiki/Acute_lymphoblastic_leukemia
Acute megakaryoblastic leukemia,https://en.wikipedia.org/wiki/Acute_megakaryoblastic_leukemia
