Name,Wikipedia link (en),Redirected,Redirect link
Babesiosis,https://en.wikipedia.org/wiki/Babesiosis,No,https://en.wikipedia.org/wiki/Babesiosis
Bacillus cereus infection,https://en.wikipedia.org/wiki/Bacillus_cereus#Pathogenesis,No,https://en.wikipedia.org/wiki/Bacillus_cereus#Pathogenesis
Bacterial endocarditis,https://en.wikipedia.org/wiki/Bacterial_endocarditis,Yes,https://en.wikipedia.org/wiki/Infective_endocarditis
Bacterial food poisoning,https://en.wikipedia.org/wiki/Bacterial_food_poisoning,Yes,https://en.wikipedia.org/wiki/Foodborne_illness
Bacterial gastroenteritis,https://en.wikipedia.org/wiki/Bacterial_gastroenteritis,Yes,https://en.wikipedia.org/wiki/Gastroenteritis#Classification
Bacterial meningitis,https://en.wikipedia.org/wiki/Bacterial_meningitis,Yes,https://en.wikipedia.org/wiki/Meningitis#Bacterial
Bacterial pneumonia,https://en.wikipedia.org/wiki/Bacterial_pneumonia,No,https://en.wikipedia.org/wiki/Bacterial_pneumonia
Bacterial vaginosis,https://en.wikipedia.org/wiki/Bacterial_vaginosis,No,https://en.wikipedia.org/wiki/Bacterial_vaginosis
Balantidiasis,https://en.wikipedia.org/wiki/Balantidiasis,No,https://en.wikipedia.org/wiki/Balantidiasis
Ballard syndrome,https://en.wikipedia.org/wiki/Ballard_syndrome,Yes,https://en.wikipedia.org/wiki/Brachydactyly
Balo disease,https://en.wikipedia.org/wiki/Balo_disease,Yes,https://en.wikipedia.org/wiki/Balo_concentric_sclerosis
Balo's concentric sclerosis,https://en.wikipedia.org/wiki/Balo%27s_concentric_sclerosis,Yes,https://en.wikipedia.org/wiki/Balo_concentric_sclerosis
BANF acoustic neurinoma,https://en.wikipedia.org/wiki/BANF_acoustic_neurinoma,Yes,https://en.wikipedia.org/wiki/Neurofibromatosis_type_II
Bangstad syndrome,https://en.wikipedia.org/wiki/Bangstad_syndrome,No,https://en.wikipedia.org/wiki/Bangstad_syndrome
Banki syndrome,https://en.wikipedia.org/wiki/Banki_syndrome,No,https://en.wikipedia.org/wiki/Banki_syndrome
Bannayan–Zonana syndrome,https://en.wikipedia.org/wiki/Bannayan%E2%80%93Zonana_syndrome,Yes,https://en.wikipedia.org/wiki/Bannayan%E2%80%93Riley%E2%80%93Ruvalcaba_syndrome
Banti's syndrome,https://en.wikipedia.org/wiki/Banti%27s_syndrome,No,https://en.wikipedia.org/wiki/Banti%27s_syndrome
Bantu siderosis,https://en.wikipedia.org/wiki/Bantu_siderosis,Yes,https://en.wikipedia.org/wiki/African_iron_overload
Barber–Say syndrome,https://en.wikipedia.org/wiki/Barber%E2%80%93Say_syndrome,No,https://en.wikipedia.org/wiki/Barber%E2%80%93Say_syndrome
Barbiturate dependence,https://en.wikipedia.org/wiki/Barbiturate_dependence,No,https://en.wikipedia.org/wiki/Barbiturate_dependence
