Name,Wikipedia link (en),Redirected,Redirect link
Rabies,https://en.wikipedia.org/wiki/Rabies,No,https://en.wikipedia.org/wiki/Rabies
Rabson–Mendenhall syndrome,https://en.wikipedia.org/wiki/Rabson%E2%80%93Mendenhall_syndrome,No,https://en.wikipedia.org/wiki/Rabson%E2%80%93Mendenhall_syndrome
Radiation syndromes,https://en.wikipedia.org/wiki/Radiation_syndromes,Yes,https://en.wikipedia.org/wiki/Acute_radiation_syndrome
Radiation-induced lumbosacral plexopathy,https://en.wikipedia.org/wiki/Radiation-induced_lumbar_plexopathy,No,https://en.wikipedia.org/wiki/Radiation-induced_lumbar_plexopathy
Radiophobia,https://en.wikipedia.org/wiki/Radiophobia,No,https://en.wikipedia.org/wiki/Radiophobia
Radio-ulnar synostosis type 1,https://en.wikipedia.org/wiki/Radio-ulnar_synostosis_type_1,Yes,https://en.wikipedia.org/wiki/Radioulnar_synostosis
Radio-ulnar synostosis type 2,https://en.wikipedia.org/wiki/Radio-ulnar_synostosis_type_2,Yes,https://en.wikipedia.org/wiki/Radioulnar_synostosis
Raine syndrome,https://en.wikipedia.org/wiki/Raine_syndrome,No,https://en.wikipedia.org/wiki/Raine_syndrome
Rambam Hasharon syndrome,https://en.wikipedia.org/wiki/Rambam_Hasharon_syndrome,Yes,https://en.wikipedia.org/wiki/Leukocyte_adhesion_deficiency
Ramos-Arroyo syndrome,https://en.wikipedia.org/wiki/Ramos-Arroyo_syndrome,No,https://en.wikipedia.org/wiki/Ramos-Arroyo_syndrome
Ramsay Hunt paralysis syndrome,https://en.wikipedia.org/wiki/Ramsay_Hunt_paralysis_syndrome,Yes,https://en.wikipedia.org/wiki/Ramsay_Hunt_syndrome
Rapadilino syndrome,https://en.wikipedia.org/wiki/Rapadilino_syndrome,Yes,https://en.wikipedia.org/wiki/RAPADILINO_syndrome
Rapp–Hodgkin syndrome,https://en.wikipedia.org/wiki/Rapp%E2%80%93Hodgkin_syndrome,No,https://en.wikipedia.org/wiki/Rapp%E2%80%93Hodgkin_syndrome
Rapunzel syndrome,https://en.wikipedia.org/wiki/Rapunzel_syndrome,No,https://en.wikipedia.org/wiki/Rapunzel_syndrome
Rasmussen's encephalitis,https://en.wikipedia.org/wiki/Rasmussen%27s_encephalitis,No,https://en.wikipedia.org/wiki/Rasmussen%27s_encephalitis
Raynaud's disease/phenomenon,https://en.wikipedia.org/wiki/Raynaud%27s_phenomenon,Yes,https://en.wikipedia.org/wiki/Raynaud_syndrome
Reactive airway disease,https://en.wikipedia.org/wiki/Reactive_airway_disease,No,https://en.wikipedia.org/wiki/Reactive_airway_disease
Reactive arthritis,https://en.wikipedia.org/wiki/Reactive_arthritis,No,https://en.wikipedia.org/wiki/Reactive_arthritis
Reactive attachment disorder,https://en.wikipedia.org/wiki/Reactive_attachment_disorder,No,https://en.wikipedia.org/wiki/Reactive_attachment_disorder
Reactive attachment disorder of early childhood,https://en.wikipedia.org/wiki/Reactive_attachment_disorder_of_early_childhood,Yes,https://en.wikipedia.org/wiki/Reactive_attachment_disorder
Reactive attachment disorder of infancy,https://en.wikipedia.org/wiki/Reactive_attachment_disorder_of_infancy,Yes,https://en.wikipedia.org/wiki/Reactive_attachment_disorder
Reactive hypoglycemia,https://en.wikipedia.org/wiki/Reactive_hypoglycemia,No,https://en.wikipedia.org/wiki/Reactive_hypoglycemia
Rectal neoplasm,https://en.wikipedia.org/wiki/Rectal_neoplasm,Yes,https://en.wikipedia.org/wiki/Colorectal_cancer
Rectosigmoid neoplasm,https://en.wikipedia.org/wiki/Rectosigmoid_neoplasm,Yes,https://en.wikipedia.org/wiki/Colorectal_cancer
