diseaseLabel,disease,symptomsLabel,symptoms,symptomLabel_NCI,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
astigmatism,Q177895, , ,, , ,Astigmatism,Q2423400, , , , , , ,"367.2,367.20","H52.2,H52.20",C0004106,D001251, ,https://en.wikipedia.org/wiki/Astigmatism,"refractive error characterized by the optics of the eye to focus a point object into a sharp focused image on the retina, has_symptom blurred vision.", 
psoriasis,Q179945, , ,Cutaneous Involvement,"apremilast,calcipotriene,desonide,desoximetasone,ethyl fumarate,methotrexate,non-steroidal anti-inflammatory drug,tacalcitol,tazarotene","Q155682,Q155683,Q188724,Q27294232,Q2858961,Q385370,Q3981685,Q422232,Q904011", , ,"Xerosis cutis,obesity,smoking,stress","Q12174,Q123414,Q2723497,Q662860", , , , , ,"L40,L40.9",C0033860,D011565,C3346,https://en.wikipedia.org/wiki/Psoriasis,skin disease, 
gastritis,Q183130, , ,,"dexlansoprazole,esomeprazole,lansoprazole,omeprazole,pantoprazole,ranitidine,sucralfate","Q254296,Q286846,Q420394,Q422210,Q423037,Q5268339,Q553223", , , , , , , , ,"535.0,535.00,535.01,535.4,535.40,535.41",K29.7,C0017152,D005756,C26780,https://en.wikipedia.org/wiki/Gastritis,stomach disease that is an inflammation of the lining of the stomach,"Erosive Gastritis,Erosive gastropathy,Erosive gastropathy (disorder),GASTRITIS HEMORRHAGIC,Gastritis (disorder),Gastritis [Ambiguous],Gastritis unspecified (disorder),Hemorrhagic Gastritis,Idiopathic erosive/hemorrhagic gastritis (disorder),acute Gastritis,acute gastric mucosal erosion,acute gastric mucosal erosion (disorder),acute gastritis with hemorrhage,acute gastritis without mention of hemorrhage,acute gastritis, with hemorrhage,acute gastritis, without mention of hemorrhage,acute haemorrhagic gastritis,chronic Gastritis,chronic gastritis (disorder),chronic gastritis NOS (disorder),stomach inflammation,stomachitis"
sepsis,Q183134,"chills,intermittent fever,remittent fever","Q2260058,Q24869904,Q3073147",,"Drotrecogin alfa,amikacin,aztreonam,cefepime,cefotaxime,cefotetan,cefoxitin,ceftazidime,ceftizoxime,ceftriaxone,ertapenem,gentamicin,imipen,mezlocillin,nafcillin,oxacillin,piperacillin,ticarcillin","Q1082945,Q1638852,Q2353907,Q2552927,Q2601832,Q2602246,Q3307752,Q408529,Q412888,Q417968,Q418546,Q418725,Q421713,Q422482,Q423787,Q425152,Q553220,Q808845", , ,infection,Q166231, , , , , , ,C0036690,D018805, ,https://en.wikipedia.org/wiki/Sepsis,life-threatening organ dysfunction triggered by infection,"blood poisoning,blood-poisoning,septicaemia,septicemia"
pulmonary emphysema,Q188605, , ,,"Oxtriphylline,acefylline,acetylcysteine,aminophylline,dyphylline,theophylline","Q1073333,Q375613,Q407308,Q4673059,Q471763,Q5104342", , , , ,smoking,Q662860, , ,492.8,J43.8,"C0029607,C0034067",D011656, ,https://en.wikipedia.org/wiki/Emphysema,human disease,emphysema
hypomania,Q188611, , ,, , , , , , , , , , , , , , ,C78349,https://en.wikipedia.org/wiki/Hypomania,mood state characterized by persistent and pervasive elevated or irritable mood,بیماری اختلال خلقی دوقطبی چهار نوع دارد که نوع یک آن(BMD/I)
heart arrhythmia,Q189331, , ,,"(RS)-metoprolol,(RS)-propafenone,amiodarone,atenolol/chlorthalidone,dabigatran etexilate,digoxin,dofetilide,dronedarone,encainide,flecainide,lidocaine,moricizine,papaverine,rivaroxaban,sotalol,tocainide","Q20078502,Q216935,Q3712521,Q408637,Q409468,Q410061,Q410374,Q413591,Q420262,Q421381,Q422222,Q514534,Q662511,Q757058,Q7700570,Q904071", , , , , , , , ,427.9, ,"C0003811,C0237314,C0340464",D001145,C2881,https://en.wikipedia.org/wiki/Arrhythmia,"group of conditions in which the heartbeat is irregular, too fast, or too slow","Arrhythmia,Arrhythmias, Cardiac,CARDIAC ARRHYTHMIA,Extrasystoles,arrhythmia,cardiac arrhythmia,cardiac dysrhythmia,cardiac irregularities,cardiac rhythm disease,disrhythmia,irregular heart beat,irregular heartbeat,rare cardiac rhythm disease"
aneurysm,Q189389, , ,, , ,Ebullism,Q2483519, , , , , , , , , ,D000783,C26693,https://en.wikipedia.org/wiki/Aneurysm,bulge in the wall of a blood vessel,aneurism
fistula,Q189470, , ,, , ,Vistula,Q548, , , , , , , , , ,D005402,C3045,https://en.wikipedia.org/wiki/Fistula,"abnormal connection between two epithelialized surfaces, often organs", 
heart disease,Q190805,"angina pectoris,arterial hypertension,ascites,balance disorder,chest pain,dyspnea,edema,heart arrhythmia,syncope,tachycardia","Q152234,Q180007,Q180762,Q188008,Q189331,Q193889,Q209583,Q3540864,Q41861,Q693058",,"(RS)-dobutamine,(RS)-metoprolol,(±)-carvedilol,Amlodipine / atorvastatin,Bisoprolol / Hydrochlorothiazide,Evolocumab,Hydrochlorothiazide / Lisinopril,LCZ696,Palivizumab,amiodarone,apixaban,aprindine,aspirin,atenolol/chlorthalidone,atorvastatin,clopidogrel,dabigatran etexilate,dofetilide,furosemide,pharmaceutical preparation of nitroglycerin,rivaroxaban,rosuvastatin,sildenafil,ticagrelor,valsartan,warfarin","Q155472,Q15623825,Q18216,Q191521,Q20078502,Q263612,Q3221044,Q3712521,Q388801,Q407431,Q409468,Q410061,Q410237,Q412534,Q412765,Q414462,Q415159,Q420262,Q420542,Q422782,Q48566700,Q48566757,Q48566808,Q6457467,Q668093,Q7700570", , ,smoking,Q662860, , , , ,"429.89,429.9,V47.2",I51.9,C0018799,D006331,C3079,https://en.wikipedia.org/wiki/Heart_disease,cardiovascular system disease that involves the heart,"cardiac disease,disease of heart,disorder of heart,heart diseases,heart disorder,heart trouble"
