diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh,nci,article
astigmatism, , ,Astigmatism, , , ,"367.2,367.20","H52.2,H52.20",C0004106,D001251, ,https://en.wikipedia.org/wiki/Astigmatism
psoriasis, ,"apremilast,calcipotriene,desonide,desoximetasone,ethyl fumarate,methotrexate,non-steroidal anti-inflammatory drug,tacalcitol,tazarotene", ,"Xerosis cutis,obesity,smoking,stress", , , ,"L40,L40.9",C0033860,D011565,C3346,https://en.wikipedia.org/wiki/Psoriasis
metastasis, , , , , , , , ,C2939420,D009362,C3261,https://en.wikipedia.org/wiki/Metastasis
gastritis, ,"dexlansoprazole,esomeprazole,lansoprazole,omeprazole,pantoprazole,ranitidine,sucralfate", , , , ,"535.0,535.00,535.01,535.4,535.40,535.41",K29.7,C0017152,D005756,C26780,https://en.wikipedia.org/wiki/Gastritis
sepsis,"chills,intermittent fever,remittent fever","Drotrecogin alfa,amikacin,aztreonam,cefepime,cefotaxime,cefotetan,cefoxitin,ceftazidime,ceftizoxime,ceftriaxone,ertapenem,gentamicin,imipen,mezlocillin,nafcillin,oxacillin,piperacillin,ticarcillin", ,infection, , , , ,C0036690,D018805, ,https://en.wikipedia.org/wiki/Sepsis
pulmonary emphysema, ,"Oxtriphylline,acefylline,acetylcysteine,aminophylline,dyphylline,theophylline", , ,smoking, ,492.8,J43.8,"C0029607,C0034067",D011656, ,https://en.wikipedia.org/wiki/Emphysema
hypomania, , , , , , , , , , ,C78349,https://en.wikipedia.org/wiki/Hypomania
heart arrhythmia, ,"(RS)-metoprolol,(RS)-propafenone,amiodarone,atenolol/chlorthalidone,dabigatran etexilate,digoxin,dofetilide,dronedarone,encainide,flecainide,lidocaine,moricizine,papaverine,rivaroxaban,sotalol,tocainide", , , , ,427.9, ,"C0003811,C0237314,C0340464",D001145,C2881,https://en.wikipedia.org/wiki/Arrhythmia
aneurysm, , ,Ebullism, , , , , , ,D000783,C26693,https://en.wikipedia.org/wiki/Aneurysm
fistula, , ,Vistula, , , , , , ,D005402,C3045,https://en.wikipedia.org/wiki/Fistula
heart disease,"angina pectoris,arterial hypertension,ascites,balance disorder,chest pain,dyspnea,edema,heart arrhythmia,syncope,tachycardia","(RS)-dobutamine,(RS)-metoprolol,(±)-carvedilol,Amlodipine / atorvastatin,Bisoprolol / Hydrochlorothiazide,Evolocumab,Hydrochlorothiazide / Lisinopril,LCZ696,Palivizumab,amiodarone,apixaban,aprindine,aspirin,atenolol/chlorthalidone,atorvastatin,clopidogrel,dabigatran etexilate,dofetilide,furosemide,pharmaceutical preparation of nitroglycerin,rivaroxaban,rosuvastatin,sildenafil,ticagrelor,valsartan,warfarin", ,smoking, , ,"429.89,429.9,V47.2",I51.9,C0018799,D006331,C3079,https://en.wikipedia.org/wiki/Heart_disease
jet lag,"fatigue,headache,irritability,sleep disorder",melatonin, , ,change, , ,G47.25, ,D020179, ,https://en.wikipedia.org/wiki/Jet_lag
cyst, , , , , , , , , ,D003560,C2978,https://en.wikipedia.org/wiki/Cyst
phenylketonuria, , , , , , ,270.1, ,C0031485,D010661,C81315,https://en.wikipedia.org/wiki/Phenylketonuria
dwarfism,short stature, ,dwarfness, , , , , ,C0013336,D004392,C34554,https://en.wikipedia.org/wiki/Dwarfism
atrophy, , ,Atrophy, , , , , , ,D001284, ,https://en.wikipedia.org/wiki/Atrophy
cervical syndrome, , , , , , , , ,C0543612, , , 
cervical intraepithelial neoplasia, , , , , , , , ,C0206708,D018290,C3782,https://en.wikipedia.org/wiki/Cervical_intraepithelial_neoplasia
encephalitis, ,aciclovir, , ,rabies, ,"323.0,323.8,323.9",A85,C0014038,D004660,C26760,https://en.wikipedia.org/wiki/Encephalitis
