diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh
astigmatism, , ,Astigmatism, , , ,"367.2,367.20","H52.2,H52.20",C0004106,D001251
psoriasis, ,"apremilast,calcipotriene,desonide,desoximetasone,ethyl fumarate,methotrexate,non-steroidal anti-inflammatory drug,tacalcitol,tazarotene", ,"Xerosis cutis,obesity,smoking,stress", , , ,"L40,L40.9",C0033860,D011565
metastasis, , , , , , , , ,C2939420,D009362
gastritis, ,"dexlansoprazole,esomeprazole,lansoprazole,omeprazole,pantoprazole,ranitidine,sucralfate", , , , ,"535.0,535.00,535.01,535.4,535.40,535.41",K29.7,C0017152,D005756
sepsis,"chills,intermittent fever,remittent fever","Drotrecogin alfa,amikacin,aztreonam,cefepime,cefotaxime,cefotetan,cefoxitin,ceftazidime,ceftizoxime,ceftriaxone,ertapenem,gentamicin,imipen,mezlocillin,nafcillin,oxacillin,piperacillin,ticarcillin", ,infection, , , , ,C0036690,D018805
pulmonary emphysema, ,"Oxtriphylline,acefylline,acetylcysteine,aminophylline,dyphylline,theophylline", , ,smoking, ,492.8,J43.8,"C0029607,C0034067",D011656
hypomania, , , , , , , , , , 
heart arrhythmia, ,"(RS)-metoprolol,(RS)-propafenone,amiodarone,atenolol/chlorthalidone,dabigatran etexilate,digoxin,dofetilide,dronedarone,encainide,flecainide,lidocaine,moricizine,papaverine,rivaroxaban,sotalol,tocainide", , , , ,427.9, ,"C0003811,C0237314,C0340464",D001145
aneurysm, , ,Ebullism, , , , , , ,D000783
fistula, , ,Vistula, , , , , , ,D005402
heart disease,"angina pectoris,arterial hypertension,ascites,balance disorder,chest pain,dyspnea,edema,heart arrhythmia,syncope,tachycardia","(RS)-dobutamine,(RS)-metoprolol,(±)-carvedilol,Amlodipine / atorvastatin,Bisoprolol / Hydrochlorothiazide,Evolocumab,Hydrochlorothiazide / Lisinopril,LCZ696,Palivizumab,amiodarone,apixaban,aprindine,aspirin,atenolol/chlorthalidone,atorvastatin,clopidogrel,dabigatran etexilate,dofetilide,furosemide,pharmaceutical preparation of nitroglycerin,rivaroxaban,rosuvastatin,sildenafil,ticagrelor,valsartan,warfarin", ,smoking, , ,"429.89,429.9,V47.2",I51.9,C0018799,D006331
jet lag,"fatigue,headache,irritability,sleep disorder",melatonin, , ,change, , ,G47.25, ,D020179
cyst, , , , , , , , , ,D003560
phenylketonuria, , , , , , ,270.1, ,C0031485,D010661
atrophy, , ,Atrophy, , , , , , ,D001284
cervical syndrome, , , , , , , , ,C0543612, 
encephalitis, ,aciclovir, , ,rabies, ,"323.0,323.8,323.9",A85,C0014038,D004660
chronic obstructive pulmonary disease,"cough,dyspnea,wheeze","(RS)-clenbuterol,L-carbocysteine,ambroxol,bambuterol,erdosteine,etofylline,fluticasone furoate,formoterol,glycopyrrolate,indacaterol,indacaterol maleate", ,smoking,"dust,smoking","arterial blood gas analysis,spirometry","490-496.99,496",J44.9,C0024117,D029424
varicose veins, ,"Sodium tetradecyl sulfate,myristyl sulfate", , , , ,"454.9,456.8",I83.90,"C0042345,C1969953",D014648
Lyme disease,"arthralgia,arthritis,chronic neuropathic pain,encephalomyelitis,erythema chronicum migrans,fasciculation,fatigue,fever,headache,heart arrhythmia,hypertrophic cardiomyopathy,meningitis,meningoencephalitis,myalgia,myocarditis,neuritis,paresthesia,vertigo","amoxicillin,azithromycin,ceftriaxone,cefuroxime,doxycycline",Chronic Lyme disease, ,Borrelia burgdorferi,"ELISA,biopsy,lumbar puncture,physical examination,western blot",088.81,"A69.2,A69.20","C0024198,C0752235",D008193
hordeolum, , , , ,Staphylococcus aureus, , ,H00.01,"C0019917,C4280376",D006726
Turner syndrome, , ,monosomy X, , , , ,"Q96,Q96.0,Q96.9","C0041408,C1527168",D014424
amblyopia, , , , , , ,368.00,H53.00,C0002418,D000550
anogenital venereal wart, ,"Interferon alfa-n3,Podophyllin,acedoben sodium,imiquimod", ,smoking,human papillomavirus infection, ,078.11,A63.0,"C0009663,C0554632",D003218
