diseaseLabel,symptomsLabel,treatmentLabel,differentFromLabel,riskLabel,causeLabel,diagnosisLabel,icd9,icd10,umls,mesh,nci,article
astigmatisme, , ,Astigmatisme, , , ,"367.2,367.20","H52.2,H52.20",C0004106,D001251, , 
psoriasis, ,"anti-inflammatoire non stéroïdien,aprémilast,calcipotriol,désonide,désoximétasone,fumarate d'éthyle,méthotrexate,tacalcitol,tazarotène", ,"Xérose,fumer,obésité,stress", , , ,"L40,L40.9",C0033860,D011565,C3346, 
métastase, , , , , , , , ,C2939420,D009362,C3261, 
gastrite, ,"dexlansoprazole,lansoprazole,oméprazole,pantoprazole,ranitidine,sucralfate,ésoméprazole", , , , ,"535.0,535.00,535.01,535.4,535.40,535.41",K29.7,C0017152,D005756,C26780, 
sepsis,"fièvre intermittente,fièvre rémittente,frissonnement","Q1638852,Q412888,amikacine,aztréonam,ceftazidime,ceftizoxime,ceftriaxone,céfotaxime,céfotétan,céfoxitine,céfépime,ertapénem,gentamicine,imipénème,mezlocilline,oxacilline,pipéracilline,ticarcilline", ,infection, , , , ,C0036690,D018805, , 
emphysème pulmonaire, ,"Q4673059,Q5104342,acétylcystéine,aminophylline,diprophylline,théophylline", , ,fumer, ,492.8,J43.8,"C0029607,C0034067",D011656, , 
hypomanie, , , , , , , , , , ,C78349, 
trouble du rythme cardiaque, ,"(RS)-propafenone,Q757058,Q7700570,amiodarone,digoxine,dofetilide,dronédarone,encainide,flécaïnide,lidocaïne,moracizine,métoprolol,papavérine,rivaroxaban,sotalol,étexilate de Dabigatran", , , , ,427.9, ,"C0003811,C0237314,C0340464",D001145,C2881, 
anévrisme, , ,Q2483519, , , , , , ,D000783,C26693, 
fistule, , ,Vistule, , , , , , ,D005402,C3045, 
cardiopathie,"angine de poitrine,ascite,douleur thoracique,dyspnée,hypertension artérielle,syncope,tachycardie,trouble de l'équilibre,trouble du rythme cardiaque,œdème","(RS)-dobutamine,Q48566700,Q48566757,Q48566808,Q7700570,Sacubitril/valsartan,Warfarine,acide acétylsalicylique,amiodarone,apixaban,aprindine,atorvastatine,carvedilol,clopidogrel,dofetilide,furosémide,métoprolol,palivizumab,préparation parmaceutique à base de nitroglycérine,rivaroxaban,rosuvastatine,sildénafil,ticagrelor,valsartan,étexilate de Dabigatran,évolocumab", ,fumer, , ,"429.89,429.9,V47.2",I51.9,C0018799,D006331,C3079, 
décalage horaire,"céphalée,fatigue,irritabilité,trouble du sommeil",mélatonine, , ,changement, , ,G47.25, ,D020179, , 
kyste, , , , , , , , , ,D003560,C2978, 
Phénylcétonurie, , , , , , ,270.1, ,C0031485,D010661,C81315, 
nanisme,insuffisance staturale, ,Q63441638, , , , , ,C0013336,D004392,C34554, 
atrophie, , ,Q65152739, , , , , , ,D001284, , 
syndrome cervical, , , , , , , , ,C0543612, , , 
néoplasie intraépithéliale du col de l'utérus, , , , , , , , ,C0206708,D018290,C3782, 
encéphalite, ,aciclovir, , ,rage, ,"323.0,323.8,323.9",A85,C0014038,D004660,C26760, 
broncho-pneumopathie chronique obstructive,"dyspnée,sibilance,toux","(RS)-clenbuterol,Furoate de fluticasone,L-carbocystéine,Q3733837,ambroxol,bambutérol,erdostéine,formotérol,glycopyrronium,indacatérol,maléate d'indacatérol", ,fumer,"fumer,poussière","gaz du sang,spirométrie","490-496.99,496",J44.9,C0024117,D029424,C3199, 
varice, ,"Q7553377,acide trétradécylsulfurique", , , , ,"454.9,456.8",I83.90,"C0042345,C1969953",D014648,C35114, 
maladie de Lyme,"arthralgie,arthrite,cardiomyopathie hypertrophique,céphalée,douleur neuropathique chronique,encéphalomyélite,fasciculation,fatigue,fièvre,myalgie,myocardite,méningite,méningoencéphalite,névrite,paresthésie,trouble du rythme cardiaque,vertige,érythème chronique migrant","amoxicilline,azithromycine,ceftriaxone,céfuroxime,doxycycline",maladie de Lyme chronique, ,Borrelia burgdorferi,"Western blot,biopsie,examen clinique,méthode immuno-enzymatique ELISA,ponction lombaire",088.81,"A69.2,A69.20","C0024198,C0752235",D008193,C45161, 
orgelet, , , , ,Staphylocoque doré, , ,H00.01,"C0019917,C4280376",D006726,C118722, 
syndrome de Turner, , ,monosomie X, , , , ,"Q96,Q96.0,Q96.9","C0041408,C1527168",D014424,"C26900,C34434,C85210", 
amblyopie, , , , , , ,368.00,H53.00,C0002418,D000550,C118764, 
verrue génitale, ,"Q27280825,Q6046446,imiquimod,podophylline", ,fumer,infection à papillomavirus humain, ,078.11,A63.0,"C0009663,C0554632",D003218,"C2960,C4820", 
syndrome d'hyperphagie incontrôlée,syndrome d'hyperphagie compulsive, ,addiction alimentaire, , , ,307.51,F50.8, ,D056912,C97162, 
delirium tremens,agrypnia excitata, , , ,abus d'alcool, ,291.0, , ,D000430, , 
hypertrophie, , , , , , , , , ,D006984, , 
