Name,Wikipedia link (en)
Galactorrhea,https://en.wikipedia.org/wiki/Galactorrhea
Galactocoele,https://en.wikipedia.org/wiki/Galactocoele
Galactokinase deficiency,https://en.wikipedia.org/wiki/Galactokinase_deficiency
Galactorrhea hyperprolactinemia,https://en.wikipedia.org/wiki/Galactorrhea_hyperprolactinemia
Galactosamine-6-sulfatase deficiency,https://en.wikipedia.org/wiki/Galactosamine-6-sulfatase_deficiency
Galactose-1-phosphate uridylyltransferase deficiency,https://en.wikipedia.org/wiki/Galactose-1-phosphate_uridylyltransferase_deficiency
Galactosemia,https://en.wikipedia.org/wiki/Galactosemia
Galloway Mowat syndrome,https://en.wikipedia.org/wiki/Galloway_Mowat_syndrome
Gamstorp episodic adynamy,https://en.wikipedia.org/wiki/Gamstorp_episodic_adynamy
Ganglioglioma,https://en.wikipedia.org/wiki/Ganglioglioma
Gangliosidosis,https://en.wikipedia.org/wiki/Gangliosidosis
Gangliosidosis (Type2)(GM2),https://en.wikipedia.org/wiki/Gangliosidosis_(Type2)(GM2)
Gangliosidosis GM1 type 3,https://en.wikipedia.org/wiki/Gangliosidosis_GM1_type_3
Gangliosidosis type1,https://en.wikipedia.org/wiki/Gangliosidosis_type1
Ganser syndrome,https://en.wikipedia.org/wiki/Ganser_syndrome
GAPO syndrome,https://en.wikipedia.org/wiki/GAPO_syndrome
Gardner–Diamond syndrome,https://en.wikipedia.org/wiki/Gardner%E2%80%93Diamond_syndrome
Gardner's syndrome,https://en.wikipedia.org/wiki/Gardner%27s_syndrome
Gas/bloat syndrome,https://en.wikipedia.org/wiki/Gas/bloat_syndrome
Gastric dumping syndrome,https://en.wikipedia.org/wiki/Gastric_dumping_syndrome
Gastric lymphoma,https://en.wikipedia.org/wiki/Gastric_lymphoma
Gastrocutaneous syndrome,https://en.wikipedia.org/wiki/Gastrocutaneous_syndrome
"Gastroenteritis, eosinophilic","https://en.wikipedia.org/wiki/Gastroenteritis,_eosinophilic"
Gastroenteritis,https://en.wikipedia.org/wiki/Gastroenteritis
Gastroesophageal reflux,https://en.wikipedia.org/wiki/Gastroesophageal_reflux
Gastrointestinal neoplasm,https://en.wikipedia.org/wiki/Gastrointestinal_neoplasm
Gaucher disease,https://en.wikipedia.org/wiki/Gaucher_disease
Gaucher disease type 1,https://en.wikipedia.org/wiki/Gaucher_disease_type_1
Gaucher disease type 2,https://en.wikipedia.org/wiki/Gaucher_disease_type_2
Gaucher disease type 3,https://en.wikipedia.org/wiki/Gaucher_disease_type_3
Geleophysic dwarfism,https://en.wikipedia.org/wiki/Geleophysic_dwarfism
Gelineau disease,https://en.wikipedia.org/wiki/Gelineau_disease
Gemss syndrome,https://en.wikipedia.org/wiki/Gemss_syndrome
Gender dysphoria,https://en.wikipedia.org/wiki/Gender_dysphoria
Genée-Wiedemann syndrome,https://en.wikipedia.org/wiki/Gen%C3%A9e-Wiedemann_syndrome
Generalized anxiety disorder,https://en.wikipedia.org/wiki/Generalized_anxiety_disorder
Generalized resistance to thyroid hormone,https://en.wikipedia.org/wiki/Generalized_resistance_to_thyroid_hormone
Generalized seizure,https://en.wikipedia.org/wiki/Generalized_seizure
"Genetic diseases, inborn","https://en.wikipedia.org/wiki/Genetic_diseases,_inborn"
Genital retraction syndrome,https://en.wikipedia.org/wiki/Genital_retraction_syndrome
Genu varum,https://en.wikipedia.org/wiki/Genu_varum
Genuphobia,https://en.wikipedia.org/wiki/Genuphobia
Geographic tongue,https://en.wikipedia.org/wiki/Geographic_tongue
German syndrome,https://en.wikipedia.org/wiki/German_syndrome
Gerodermia osteodysplastica,https://en.wikipedia.org/wiki/Gerodermia_osteodysplastica
Gerstmann syndrome,https://en.wikipedia.org/wiki/Gerstmann_syndrome
