Name,Wikipedia link (en),Redirected,Redirect link
I cell disease,https://en.wikipedia.org/wiki/I_cell_disease,Yes,https://en.wikipedia.org/wiki/I-cell_disease
IBIDS syndrome,https://en.wikipedia.org/wiki/IBIDS_syndrome,Yes,https://en.wikipedia.org/wiki/Trichothiodystrophy
ICF syndrome,https://en.wikipedia.org/wiki/ICF_syndrome,Yes,https://en.wikipedia.org/wiki/Immunodeficiency%E2%80%93centromeric_instability%E2%80%93facial_anomalies_syndrome
Ichthyoallyeinotoxism,https://en.wikipedia.org/wiki/Ichthyoallyeinotoxism,No,https://en.wikipedia.org/wiki/Ichthyoallyeinotoxism
Ichthyophobia,https://en.wikipedia.org/wiki/Ichthyophobia,Yes,https://en.wikipedia.org/wiki/Fear_of_fish
Ichthyosis bullosa of Siemens,https://en.wikipedia.org/wiki/Ichthyosis_bullosa_of_Siemens,No,https://en.wikipedia.org/wiki/Ichthyosis_bullosa_of_Siemens
Ichthyosis deafness mental retardation skeletal anomaly,https://en.wikipedia.org/wiki/Ichthyosis_deafness_mental_retardation_skeletal_anomaly,Yes,https://en.wikipedia.org/wiki/Ruzicka_Goerz_Anton_syndrome
Ichthyosis follicularis atrichia photophobia syndrome,https://en.wikipedia.org/wiki/Ichthyosis_follicularis_atrichia_photophobia_syndrome,Yes,https://en.wikipedia.org/wiki/Ichthyosis_follicularis_with_alopecia_and_photophobia_syndrome
Ichthyosis linearis circumflexa,https://en.wikipedia.org/wiki/Ichthyosis_linearis_circumflexa,No,https://en.wikipedia.org/wiki/Ichthyosis_linearis_circumflexa
Ichthyosis vulgaris,https://en.wikipedia.org/wiki/Ichthyosis_vulgaris,No,https://en.wikipedia.org/wiki/Ichthyosis_vulgaris
"Ichthyosis, Netherton syndrome","https://en.wikipedia.org/wiki/Ichthyosis,_Netherton_syndrome",Yes,https://en.wikipedia.org/wiki/Netherton_syndrome
Idiopathic acute eosinophilic pneumonia,https://en.wikipedia.org/wiki/Idiopathic_acute_eosinophilic_pneumonia,Yes,https://en.wikipedia.org/wiki/Eosinophilic_pneumonia
Idiopathic adolescent scoliosis,https://en.wikipedia.org/wiki/Idiopathic_adolescent_scoliosis,Yes,https://en.wikipedia.org/wiki/Adolescent_idiopathic_scoliosis
Idiopathic dilation cardiomyopathy,https://en.wikipedia.org/wiki/Idiopathic_dilation_cardiomyopathy,Yes,https://en.wikipedia.org/wiki/Dilated_cardiomyopathy
Idiopathic eosinophilic chronic pneumopathy,https://en.wikipedia.org/wiki/Idiopathic_eosinophilic_chronic_pneumopathy,Yes,https://en.wikipedia.org/wiki/Eosinophilic_pneumonia
Idiopathic hypereosinophilic syndrome,https://en.wikipedia.org/wiki/Idiopathic_hypereosinophilic_syndrome,Yes,https://en.wikipedia.org/wiki/Hypereosinophilic_syndrome
Idiopathic juvenile osteoporosis,https://en.wikipedia.org/wiki/Idiopathic_juvenile_osteoporosis,Yes,https://en.wikipedia.org/wiki/Juvenile_osteoporosis
Idiopathic pulmonary fibrosis,https://en.wikipedia.org/wiki/Idiopathic_pulmonary_fibrosis,No,https://en.wikipedia.org/wiki/Idiopathic_pulmonary_fibrosis
