Name,Wikipedia link (en),Redirected,Redirect link
Mac Dermot Winter syndrome,https://en.wikipedia.org/wiki/Macdermot-Winter_syndrome,No,https://en.wikipedia.org/wiki/Macdermot-Winter_syndrome
Macrocephaly cutis marmorata telangiectatica,https://en.wikipedia.org/wiki/Macrocephaly_cutis_marmorata_telangiectatica,Yes,https://en.wikipedia.org/wiki/Cutis_marmorata_telangiectatica_congenita
Macroglobulinemia,https://en.wikipedia.org/wiki/Macroglobulinemia,No,https://en.wikipedia.org/wiki/Macroglobulinemia
Macroglossia dominant,https://en.wikipedia.org/wiki/Macroglossia_dominant,Yes,https://en.wikipedia.org/wiki/Macroglossia
Macroglossia exomphalos gigantism,https://en.wikipedia.org/wiki/Macroglossia_exomphalos_gigantism,Yes,https://en.wikipedia.org/wiki/Beckwith%E2%80%93Wiedemann_syndrome
Macrophagic myofasciitis,https://en.wikipedia.org/wiki/Macrophagic_myofasciitis,No,https://en.wikipedia.org/wiki/Macrophagic_myofasciitis
Macrothrombocytopenia with leukocyte inclusions,https://en.wikipedia.org/wiki/Macrothrombocytopenia_with_leukocyte_inclusions,Yes,https://en.wikipedia.org/wiki/May%E2%80%93Hegglin_anomaly
Macular corneal dystrophy,https://en.wikipedia.org/wiki/Macular_corneal_dystrophy,No,https://en.wikipedia.org/wiki/Macular_corneal_dystrophy
Macular degeneration,https://en.wikipedia.org/wiki/Macular_degeneration,Yes,https://en.wikipedia.org/wiki/Macular_degeneration
Macular degeneration juvenile,https://en.wikipedia.org/wiki/Macular_degeneration_juvenile,Yes,https://en.wikipedia.org/wiki/Macular_degeneration
"Macular degeneration, age-related","https://en.wikipedia.org/wiki/Macular_degeneration,_age-related",Yes,https://en.wikipedia.org/wiki/Macular_degeneration
"Macular degeneration, polymorphic","https://en.wikipedia.org/wiki/Macular_degeneration,_polymorphic",Yes,https://en.wikipedia.org/wiki/Macular_degeneration
"Macular dystrophy, vitelliform","https://en.wikipedia.org/wiki/Macular_dystrophy,_vitelliform",Yes,https://en.wikipedia.org/wiki/Vitelliform_macular_dystrophy
Mad cow disease,https://en.wikipedia.org/wiki/Mad_cow_disease,Yes,https://en.wikipedia.org/wiki/Bovine_spongiform_encephalopathy
Madelung's disease,https://en.wikipedia.org/wiki/Madelung%27s_disease,Yes,https://en.wikipedia.org/wiki/Benign_symmetric_lipomatosis
Maffucci syndrome,https://en.wikipedia.org/wiki/Maffucci_syndrome,No,https://en.wikipedia.org/wiki/Maffucci_syndrome
Major depressive disorder,https://en.wikipedia.org/wiki/Major_depressive_disorder,No,https://en.wikipedia.org/wiki/Major_depressive_disorder
Mal de debarquement,https://en.wikipedia.org/wiki/Mal_de_debarquement,No,https://en.wikipedia.org/wiki/Mal_de_debarquement
Malakoplakia,https://en.wikipedia.org/wiki/Malakoplakia,No,https://en.wikipedia.org/wiki/Malakoplakia
Malaria,https://en.wikipedia.org/wiki/Malaria,No,https://en.wikipedia.org/wiki/Malaria
Male pseudohermaphroditism due to 17-beta-hydroxysteroid dehydrogenase deficiency,https://en.wikipedia.org/wiki/Male_pseudohermaphroditism_due_to_17-beta-hydroxysteroid_dehydrogenase_deficiency,Yes,https://en.wikipedia.org/wiki/17%CE%B2-Hydroxysteroid_dehydrogenase_III_deficiency
Malignant astrocytoma,https://en.wikipedia.org/wiki/Malignant_astrocytoma,Yes,https://en.wikipedia.org/wiki/Astrocytoma
Malignant fibrous histiocytoma,https://en.wikipedia.org/wiki/Malignant_fibrous_histiocytoma,Yes,https://en.wikipedia.org/wiki/Undifferentiated_pleomorphic_sarcoma
Malignant hyperthermia,https://en.wikipedia.org/wiki/Malignant_hyperthermia,No,https://en.wikipedia.org/wiki/Malignant_hyperthermia
Malignant hyperthermia susceptibility type 1,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_1,Yes,https://en.wikipedia.org/wiki/Malignant_hyperthermia
Malignant hyperthermia susceptibility type 2,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_2,Yes,https://en.wikipedia.org/wiki/Malignant_hyperthermia
Malignant hyperthermia susceptibility type 3,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_3,Yes,https://en.wikipedia.org/wiki/Malignant_hyperthermia
Malignant hyperthermia susceptibility type 4,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_4,Yes,https://en.wikipedia.org/wiki/Malignant_hyperthermia
Malignant hyperthermia susceptibility type 5,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_5,Yes,https://en.wikipedia.org/wiki/Malignant_hyperthermia
Malignant hyperthermia susceptibility type 6,https://en.wikipedia.org/wiki/Malignant_hyperthermia_susceptibility_type_6,Yes,https://en.wikipedia.org/wiki/Malignant_hyperthermia
Malignant mixed Müllerian tumor,https://en.wikipedia.org/wiki/Malignant_mixed_M%C3%BCllerian_tumor,Yes,https://en.wikipedia.org/wiki/Mixed_M%C3%BCllerian_tumor
Mallory–Weiss syndrome,https://en.wikipedia.org/wiki/Mallory%E2%80%93Weiss_syndrome,No,https://en.wikipedia.org/wiki/Mallory%E2%80%93Weiss_syndrome
Malonic aciduria,https://en.wikipedia.org/wiki/Malonic_aciduria,Yes,https://en.wikipedia.org/wiki/Malonyl-CoA_decarboxylase_deficiency
