Name,Wikipedia link (en),Redirected,Redirect link
Waardenburg anophthalmia syndrome,https://en.wikipedia.org/wiki/Waardenburg_anophthalmia_syndrome,No,https://en.wikipedia.org/wiki/Waardenburg_anophthalmia_syndrome
Waardenburg syndrome,https://en.wikipedia.org/wiki/Waardenburg_syndrome,No,https://en.wikipedia.org/wiki/Waardenburg_syndrome
Waardenburg syndrome type 1,https://en.wikipedia.org/wiki/Waardenburg_syndrome_type_1,Yes,https://en.wikipedia.org/wiki/Waardenburg_Syndrome_Type_1
Waardenburg syndrome type 2,https://en.wikipedia.org/wiki/Waardenburg_syndrome_type_2,Yes,https://en.wikipedia.org/wiki/Waardenburg_syndrome
Waardenburg syndrome type 2A,https://en.wikipedia.org/wiki/Waardenburg_syndrome_type_2A,Yes,https://en.wikipedia.org/wiki/Waardenburg_syndrome
Waardenburg syndrome type 2B,https://en.wikipedia.org/wiki/Waardenburg_syndrome_type_2B,Yes,https://en.wikipedia.org/wiki/Waardenburg_syndrome
Waardenburg syndrome type 3,https://en.wikipedia.org/wiki/Waardenburg_syndrome_type_3,Yes,https://en.wikipedia.org/wiki/Waardenburg_syndrome
"Waardenburg syndrome, type 4","https://en.wikipedia.org/wiki/Waardenburg_syndrome,_type_4",Yes,https://en.wikipedia.org/wiki/Waardenburg_syndrome
Waardenburg type Pierpont,https://en.wikipedia.org/wiki/Waardenburg_type_Pierpont,Yes,https://en.wikipedia.org/wiki/Waardenburg_syndrome
Wagner's disease,https://en.wikipedia.org/wiki/Wagner%27s_disease,No,https://en.wikipedia.org/wiki/Wagner%27s_disease
Wagner–Stickler syndrome,https://en.wikipedia.org/wiki/Wagner%E2%80%93Stickler_syndrome,Yes,https://en.wikipedia.org/wiki/Stickler_syndrome
WAGR syndrome,https://en.wikipedia.org/wiki/WAGR_syndrome,No,https://en.wikipedia.org/wiki/WAGR_syndrome
Waldenström's macroglobulinemia,https://en.wikipedia.org/wiki/Waldenstr%C3%B6m%27s_macroglobulinemia,Yes,https://en.wikipedia.org/wiki/Waldenstr%C3%B6m_macroglobulinemia
Waldmann disease,https://en.wikipedia.org/wiki/Waldmann_disease,No,https://en.wikipedia.org/wiki/Waldmann_disease
Wallerian degeneration,https://en.wikipedia.org/wiki/Wallerian_degeneration,No,https://en.wikipedia.org/wiki/Wallerian_degeneration
Wallis–Zieff–Goldblatt syndrome,https://en.wikipedia.org/wiki/Wallis%E2%80%93Zieff%E2%80%93Goldblatt_syndrome,No,https://en.wikipedia.org/wiki/Wallis%E2%80%93Zieff%E2%80%93Goldblatt_syndrome
Wandering spleen,https://en.wikipedia.org/wiki/Wandering_spleen,No,https://en.wikipedia.org/wiki/Wandering_spleen
Micro syndrome,https://en.wikipedia.org/wiki/Micro_syndrome,Yes,https://en.wikipedia.org/wiki/Warburg_Micro_syndrome
Warburg–Thomsen syndrome,https://en.wikipedia.org/wiki/Warburg%E2%80%93Thomsen_syndrome,Yes,https://en.wikipedia.org/wiki/Yemenite_deaf-blind_hypopigmentation_syndrome
Warfarin necrosis,https://en.wikipedia.org/wiki/Warfarin_necrosis,No,https://en.wikipedia.org/wiki/Warfarin_necrosis
Warkany syndrome,https://en.wikipedia.org/wiki/Warkany_syndrome_1,No,https://en.wikipedia.org/wiki/Warkany_syndrome_1
Warman–Mulliken–Hayward syndrome,https://en.wikipedia.org/wiki/Warman%E2%80%93Mulliken%E2%80%93Hayward_syndrome,Yes,https://en.wikipedia.org/wiki/Craniosynostosis
Warts,https://en.wikipedia.org/wiki/Warts,Yes,https://en.wikipedia.org/wiki/Wart
Waterhouse–Friderichsen syndrome,https://en.wikipedia.org/wiki/Waterhouse%E2%80%93Friderichsen_syndrome,No,https://en.wikipedia.org/wiki/Waterhouse%E2%80%93Friderichsen_syndrome
Watermelon stomach,https://en.wikipedia.org/wiki/Watermelon_stomach,Yes,https://en.wikipedia.org/wiki/Gastric_antral_vascular_ectasia
Watson syndrome,https://en.wikipedia.org/wiki/Watson_syndrome,No,https://en.wikipedia.org/wiki/Watson_syndrome
Weaver syndrome,https://en.wikipedia.org/wiki/Weaver_syndrome,No,https://en.wikipedia.org/wiki/Weaver_syndrome
Weber–Sturge–Dimitri syndrome,https://en.wikipedia.org/wiki/Weber%E2%80%93Sturge%E2%80%93Dimitri_syndrome,Yes,https://en.wikipedia.org/wiki/Sturge%E2%80%93Weber_syndrome
Weber–Christian disease,https://en.wikipedia.org/wiki/Panniculitis,No,https://en.wikipedia.org/wiki/Panniculitis
granulomatosis with polyangiitis,https://en.wikipedia.org/wiki/Granulomatosis_with_polyangiitis,No,https://en.wikipedia.org/wiki/Granulomatosis_with_polyangiitis
Weil syndrome,https://en.wikipedia.org/wiki/Weil_syndrome,Yes,https://en.wikipedia.org/wiki/Leptospirosis
Weismann–Netter–Stuhl syndrome,https://en.wikipedia.org/wiki/Weismann%E2%80%93Netter%E2%80%93Stuhl_syndrome,Yes,https://en.wikipedia.org/wiki/Weismann-Netter%E2%80%93Stuhl_syndrome
Weissenbacher–Zweymuller syndrome,https://en.wikipedia.org/wiki/Weissenbacher%E2%80%93Zweymuller_syndrome,Yes,https://en.wikipedia.org/wiki/Weissenbacher%E2%80%93Zweym%C3%BCller_syndrome
Wells syndrome,https://en.wikipedia.org/wiki/Wells_syndrome,Yes,https://en.wikipedia.org/wiki/Eosinophilic_cellulitis
Werdnig–Hoffmann disease,https://en.wikipedia.org/wiki/Werdnig%E2%80%93Hoffmann_disease,Yes,https://en.wikipedia.org/wiki/Spinal_muscular_atrophy
Werner's syndrome,https://en.wikipedia.org/wiki/Werner%27s_syndrome,Yes,https://en.wikipedia.org/wiki/Werner_syndrome
Wernicke–Korsakoff syndrome,https://en.wikipedia.org/wiki/Wernicke%E2%80%93Korsakoff_syndrome,No,https://en.wikipedia.org/wiki/Wernicke%E2%80%93Korsakoff_syndrome
Wernicke's encephalopathy,https://en.wikipedia.org/wiki/Wernicke%27s_encephalopathy,Yes,https://en.wikipedia.org/wiki/Wernicke_encephalopathy
West Nile virus,https://en.wikipedia.org/wiki/West_Nile_virus,No,https://en.wikipedia.org/wiki/West_Nile_virus
