Name,Wikipedia link (en),Redirected,Redirect link
"X, disease",https://en.wikipedia.org/wiki/Disease_X,No,https://en.wikipedia.org/wiki/Disease_X
Xanthine oxydase deficiency,https://en.wikipedia.org/wiki/Xanthine_oxydase_deficiency,Yes,https://en.wikipedia.org/wiki/Xanthinuria
Xanthinuria,https://en.wikipedia.org/wiki/Xanthinuria,No,https://en.wikipedia.org/wiki/Xanthinuria
Xanthomatosis cerebrotendinous,https://en.wikipedia.org/wiki/Xanthomatosis_cerebrotendinous,Yes,https://en.wikipedia.org/wiki/Cerebrotendineous_xanthomatosis
"Xerocytosis, hereditary",https://en.wikipedia.org/wiki/Hereditary_stomatocytosis#Variants,No,https://en.wikipedia.org/wiki/Hereditary_stomatocytosis#Variants
Xeroderma,https://en.wikipedia.org/wiki/Xeroderma,No,https://en.wikipedia.org/wiki/Xeroderma
Xeroderma pigmentosum,https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,Yes,https://en.wikipedia.org/wiki/Xeroderma_pigmentosum
"Xeroderma pigmentosum, type 1","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_1",Yes,https://en.wikipedia.org/wiki/Xeroderma_pigmentosum
"Xeroderma pigmentosum, type 2","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_2",Yes,https://en.wikipedia.org/wiki/Xeroderma_pigmentosum
"Xeroderma pigmentosum, type 3","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_3",Yes,https://en.wikipedia.org/wiki/Xeroderma_pigmentosum
"Xeroderma pigmentosum, type 5","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_5",Yes,https://en.wikipedia.org/wiki/Xeroderma_pigmentosum
"Xeroderma pigmentosum, type 6","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_6",Yes,https://en.wikipedia.org/wiki/Xeroderma_pigmentosum
"Xeroderma pigmentosum, type 7","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_type_7",Yes,https://en.wikipedia.org/wiki/Xeroderma_pigmentosum
"Xeroderma pigmentosum, variant type","https://en.wikipedia.org/wiki/Xeroderma_pigmentosum,_variant_type",Yes,https://en.wikipedia.org/wiki/Xeroderma_pigmentosum
Xerophthalmia,https://en.wikipedia.org/wiki/Xerophthalmia,No,https://en.wikipedia.org/wiki/Xerophthalmia
Xerostomia,https://en.wikipedia.org/wiki/Xerostomia,No,https://en.wikipedia.org/wiki/Xerostomia
X-linked adrenal hypoplasia congenita,https://en.wikipedia.org/wiki/X-linked_adrenal_hypoplasia_congenita,No,https://en.wikipedia.org/wiki/X-linked_adrenal_hypoplasia_congenita
X-linked adrenoleukodystrophy,https://en.wikipedia.org/wiki/X-linked_adrenoleukodystrophy,Yes,https://en.wikipedia.org/wiki/Adrenoleukodystrophy
X-linked agammaglobulinemia,https://en.wikipedia.org/wiki/X-linked_agammaglobulinemia,No,https://en.wikipedia.org/wiki/X-linked_agammaglobulinemia
X-linked alpha thalassemia mental retardation syndrome (ATR-X),https://en.wikipedia.org/wiki/X-linked_alpha_thalassemia_mental_retardation_syndrome_(ATR-X),Yes,https://en.wikipedia.org/wiki/ATR-X_syndrome
X-linked dominance,https://en.wikipedia.org/wiki/X-linked_dominance,Yes,https://en.wikipedia.org/wiki/X-linked_dominant_inheritance
X-linked ichthyosis,https://en.wikipedia.org/wiki/X-linked_ichthyosis,No,https://en.wikipedia.org/wiki/X-linked_ichthyosis
X-linked lymphoproliferative syndrome,https://en.wikipedia.org/wiki/X-linked_lymphoproliferative_syndrome,Yes,https://en.wikipedia.org/wiki/X-linked_lymphoproliferative_disease
X-linked mental retardation,https://en.wikipedia.org/wiki/X-linked_mental_retardation,Yes,https://en.wikipedia.org/wiki/X-linked_intellectual_disability
X-linked mental retardation and macroorchidism,https://en.wikipedia.org/wiki/X-linked_mental_retardation_and_macroorchidism,Yes,https://en.wikipedia.org/wiki/Fragile_X_syndrome
X-linked severe combined immunodeficiency,https://en.wikipedia.org/wiki/X-linked_severe_combined_immunodeficiency,No,https://en.wikipedia.org/wiki/X-linked_severe_combined_immunodeficiency
X-linked trait,https://en.wikipedia.org/wiki/X-linked_trait,Yes,https://en.wikipedia.org/wiki/Sex_linkage
XX male syndrome,https://en.wikipedia.org/wiki/XX_male_syndrome,No,https://en.wikipedia.org/wiki/XX_male_syndrome
XY Female,https://en.wikipedia.org/wiki/XY_Female,Yes,https://en.wikipedia.org/wiki/XY_gonadal_dysgenesis
XYY syndrome,https://en.wikipedia.org/wiki/XYY_syndrome,No,https://en.wikipedia.org/wiki/XYY_syndrome
XXXX syndrome,https://en.wikipedia.org/wiki/XXXX_syndrome,Yes,https://en.wikipedia.org/wiki/Tetrasomy_X
XXXXX syndrome,https://en.wikipedia.org/wiki/XXXXX_syndrome,Yes,https://en.wikipedia.org/wiki/Pentasomy_X
