Name,Wikipedia link (en),Redirected,Redirect link
Y chromosome deletions,https://en.wikipedia.org/wiki/Y_chromosome_deletions,Yes,https://en.wikipedia.org/wiki/Y_chromosome_microdeletion
Yaws,https://en.wikipedia.org/wiki/Yaws,No,https://en.wikipedia.org/wiki/Yaws
Yeast infection,https://en.wikipedia.org/wiki/Yeast_infection,Yes,https://en.wikipedia.org/wiki/Candidiasis
Yellow fever,https://en.wikipedia.org/wiki/Yellow_fever,No,https://en.wikipedia.org/wiki/Yellow_fever
Yellow nail syndrome,https://en.wikipedia.org/wiki/Yellow_nail_syndrome,No,https://en.wikipedia.org/wiki/Yellow_nail_syndrome
Yemenite deaf-blind hypopigmentation syndrome,https://en.wikipedia.org/wiki/Yemenite_deaf-blind_hypopigmentation_syndrome,No,https://en.wikipedia.org/wiki/Yemenite_deaf-blind_hypopigmentation_syndrome
Yersinia pestis infection,https://en.wikipedia.org/wiki/Yersinia_pestis,No,https://en.wikipedia.org/wiki/Yersinia_pestis
Yersiniosis,https://en.wikipedia.org/wiki/Yersiniosis,No,https://en.wikipedia.org/wiki/Yersiniosis
Yersinia entercolitica infection,https://en.wikipedia.org/wiki/Yersinia_enterocolitica,No,https://en.wikipedia.org/wiki/Yersinia_enterocolitica
Yersinia pseudotuberculosis infection,https://en.wikipedia.org/wiki/Yersinia_pseudotuberculosis,No,https://en.wikipedia.org/wiki/Yersinia_pseudotuberculosis
Yim–Ebbin syndrome,https://en.wikipedia.org/wiki/Yim%E2%80%93Ebbin_syndrome,No,https://en.wikipedia.org/wiki/Yim%E2%80%93Ebbin_syndrome
Yolk sac tumor,https://en.wikipedia.org/wiki/Yolk_sac_tumor,Yes,https://en.wikipedia.org/wiki/Endodermal_sinus_tumor
Young–Madders syndrome,https://en.wikipedia.org/wiki/Young%E2%80%93Madders_syndrome,No,https://en.wikipedia.org/wiki/Young%E2%80%93Madders_syndrome
Young Simpson syndrome,https://en.wikipedia.org/wiki/Young_Simpson_syndrome,Yes,https://en.wikipedia.org/wiki/Young%E2%80%93Simpson_syndrome
Young syndrome,https://en.wikipedia.org/wiki/Young_syndrome,Yes,https://en.wikipedia.org/wiki/Young%27s_syndrome
Yunis–Varon syndrome,https://en.wikipedia.org/wiki/Yunis%E2%80%93Varon_syndrome,No,https://en.wikipedia.org/wiki/Yunis%E2%80%93Varon_syndrome
Yusho disease,https://en.wikipedia.org/wiki/Yusho_disease,Yes,https://en.wikipedia.org/wiki/Yush%C5%8D_disease
